## Pediatric RMS clinical trials drug map (auto-generated; do NOT hand-edit)
## Source: https://clinicaltrials.gov/api/v2/studies
## Condition query: rhabdomyosarcoma
## Generated: 2026-04-25 23:25 UTC
## Studies scanned: 374
## Drug rows: 310
## Schema: drug\tn_rms_trials\tmax_phase_in_rms\tany_recruiting\tany_pediatric\texample_nct\texample_title
##
## Phase 4 reads this file (when present) and upgrades pediatric_evidence to
## 'yes_trial' for any drug appearing here with any_pediatric=1, unless its
## existing pediatric_evidence is already 'yes_approved' (which outranks).
## To regenerate: bin/fetch_clinicaltrials.py
drug	n_rms_trials	max_phase_in_rms	any_recruiting	any_pediatric	example_nct	example_title
crizotinib (pf-02341066)	1	PHASE2	0	1	NCT01524926	CREATE: Cross-tumoral Phase 2 With Crizotinib
cyclophosphamide pill	1	PHASE2	1	1	NCT04388839	Evolutionary Therapy for Rhabdomyosarcoma
cyclophosphamide+vinorelbine	1	PHASE2	0	1	NCT07137884	Anlotinib Hydrochloride Capsules in Maintenance Treatment for Intermediate-High Risk Rhabdomyosarcoma in Children
cyproheptadine hydrochloride	1	PHASE3	0	1	NCT01132547	Cyproheptadine in Preventing Weight Loss in Children Receiving Chemotherapy for Cancer
cytomegalovirus ie-1-specific cytotoxic t lymphocytes	1	PHASE1	0	1	NCT00769613	Emergency Use of Donor Lymphocytes in Treating Patients Who Have Undergone Donor Stem Cell Transplant and Have Cytomegal
dexrazoxane	1	PHASE2	1	1	NCT01871766	Risk-Adapted Focal Proton Beam Radiation and/or Surgery in Patients With Low, Intermediate and High Risk Rhabdomyosarcom
dexrazoxane hydrochloride	1	PHASE2	1	1	NCT00077285	Irinotecan and Carboplatin as Upfront Window Therapy in Treating Patients With Newly Diagnosed Intermediate-Risk or High
dinutuximab	1	PHASE2	0	1	NCT04238819	A Study of Abemaciclib (LY2835219) in Combination With Other Anti-Cancer Treatments in Children and Young Adult Particip
dinutuximab beta	1	PHASE3	1	1	NCT06669013	Chemo-immunotherapy in Patients Under 18 Years of Age With Bone and Soft Tissue Sarcomas
disulfiram	1	PHASE1	1	1	NCT05210374	Disulfiram With Copper Gluconate and Liposomal Doxorubicin in Treatment-Refractory Sarcomas
donor nk cell infusion	1	PHASE2	0	1	NCT02100891	Phase 2 STIR Trial: Haploidentical Transplant and Donor Natural Killer Cells for Solid Tumors
dostarlimab	1	PHASE2	1	1	NCT06521567	A Study of Cobolimab Plus Dostarlimab in Pediatric and Young Adult Participants With Cancer
doxorubicin hcl liposomal injection	1	PHASE1	0	1	NCT02557854	HIFU Hyperthermia With Liposomal Doxorubicin (DOXIL) for Relapsed or Refractory Pediatric and Young Adult Solid Tumors
doxorubicin hcl liposome	1	PHASE1	0	1	NCT00019630	Liposomal Doxorubicin in Treating Children With Refractory Solid Tumors
doxorubicin hydrochloride liposome+irinotecan	1	PHASE2	1	1	NCT05457829	Doxorubicin Hydrochloride Liposome Combined With Irinotecan (AI Regimen) Versus VIT Regimen in the Treatment of First Re
doxorubicin, cytoxan	1	PHASE4	0	1	NCT00339118	EpSSG (European Soft Tissue Sarcoma Study Group) Protocol for Non-Metastatic Rhabdomyosarcoma in Children
e7 peptide	1	PHASE2	0	1	NCT00001564	A Pilot Study of Tumor-Specific Peptide Vaccination and IL-2 With or Without Autologous T Cell Transplantation in Recurr
ef-1 peptide	1	PHASE2	0	1	NCT00001564	A Pilot Study of Tumor-Specific Peptide Vaccination and IL-2 With or Without Autologous T Cell Transplantation in Recurr
ef-2 peptide	1	PHASE2	0	1	NCT00001564	A Pilot Study of Tumor-Specific Peptide Vaccination and IL-2 With or Without Autologous T Cell Transplantation in Recurr
elimusertib	1	PHASE2	1	1	NCT05071209	Elimusertib for the Treatment of Relapsed or Refractory Solid Tumors
enoblituzumab	1	PHASE1	0	1	NCT02982941	Enoblituzumab (MGA271) in Children With B7-H3-expressing Solid Tumors
